time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa
4489,4351;100,0000;0,4002;61,0345;0,8559;61,0345
4506,5923;100,0000;0,3991;66,5517;0,8325;66,5517
4523,8665;100,0000;0,4036;65,5172;0,8352;65,5172
4541,3306;100,0000;0,4042;66,2069;0,8341;66,2069
4566,5241;100,0000;0,4044;68,9655;0,8252;68,9655
4591,1638;100,0000;0,3998;63,4483;0,8462;66,5517
4615,8269;100,0000;0,4034;63,7931;0,8402;65,8621
4640,2387;100,0000;0,4003;65,8621;0,8268;66,2069
4665,6186;100,0000;0,4171;65,5172;0,8310;65,1724
4689,7074;100,0000;0,4265;67,5862;0,8154;65,1724
4713,9650;100,0000;0,4077;60,6897;0,8902;65,5172
4738,2684;100,0000;0,4063;66,8966;0,8171;65,8621
4762,2559;100,0000;0,4071;57,2414;0,9225;65,5172
4787,0039;100,0000;0,4104;65,5172;0,8293;66,8966
4810,5754;100,0000;0,4053;64,1379;0,8493;66,5517
4834,8442;100,0000;0,4004;64,1379;0,8366;67,2414
4858,6498;100,0000;0,4096;63,7931;0,8453;66,5517
4882,5731;100,0000;0,4005;58,6207;0,8741;66,5517
4907,3593;100,0000;0,4051;64,1379;0,8481;66,8966
4932,1080;100,0000;0,4078;56,8966;0,8865;67,9310
4956,1565;100,0000;0,3992;65,8621;0,8265;67,5862
4980,8110;100,0000;0,4067;57,5862;0,9130;65,8621
5005,1672;100,0000;0,4145;68,2759;0,8229;66,5517
5030,1306;100,0000;0,4025;66,2069;0,8296;66,5517
5054,6468;100,0000;0,4005;60,6897;0,8831;67,2414
5078,4706;100,0000;0,4094;65,8621;0,8381;68,9655
5103,3408;100,0000;0,4090;64,8276;0,8404;68,2759
5127,8254;100,0000;0,4028;67,9310;0,8319;65,5172
5151,8445;100,0000;0,4087;64,1379;0,8539;64,4828
5175,6391;100,0000;0,4065;62,7586;0,8651;64,4828
5200,4432;100,0000;0,4022;66,8966;0,8362;64,4828
5225,6183;100,0000;0,4050;63,1034;0,8472;64,4828
5251,7568;100,0000;0,4020;66,5517;0,8394;64,8276
5279,7510;100,0000;0,4059;60,3448;0,8897;64,8276
