inf-norm-min-adv-dist;inf-norm-PGD-dist;inf-norm-sec-att-dist;inf-norm-Clever-0.0-samples;2-norm-min-adv-dist;2-norm-PGD-dist;2-norm-sec-att-dist;2-norm-Clever-0.0-samples
0.00912696123123169;0.00912696123123169;0.9720879793167114;0.0;0.9246692061424255;1.8877874612808228;0.9246692061424255;0.0
0.009156137704849243;0.009156137704849243;0.9605472087860107;0.0;0.926368236541748;1.025844693183899;0.926368236541748;0.0
0.009162262082099915;0.009162262082099915;0.9420233964920044;0.0;0.9346795678138733;0.9346795678138733;0.9399588704109192;0.0
0.009169578552246094;0.009169578552246094;0.8643772602081299;0.0;0.9390051960945129;0.9390051960945129;1.0396169424057007;0.0
0.009172588586807251;0.009172588586807251;0.9162691831588745;0.0;0.9420504570007324;1.1560282707214355;0.9420504570007324;0.0
0.009184539318084717;0.009184539318084717;0.8875426650047302;0.0;0.9455991387367249;1.9853452444076538;0.9455991387367249;0.0
0.009194016456604004;0.009194016456604004;0.9604644775390625;0.0;0.9461081027984619;1.2003105878829956;0.9461081027984619;0.0
0.009197264909744263;0.009197264909744263;0.9495366811752319;0.0;0.9506030082702637;1.8304450511932373;0.9506030082702637;0.0
0.00927501916885376;0.00927501916885376;0.9901058077812195;0.0;0.9515412449836731;1.7407535314559937;0.9515412449836731;0.0
0.009321630001068115;0.009321630001068115;0.7449719905853271;0.0;0.953290581703186;0.953290581703186;1.0073208808898926;0.0
0.009360864758491516;0.009360864758491516;0.9135531783103943;0.0;0.9540058970451355;1.1795753240585327;0.9540058970451355;0.0
0.009367197751998901;0.009367197751998901;0.8820684552192688;0.0;0.9545304775238037;1.520781397819519;0.9545304775238037;0.0
0.009422004222869873;0.009422004222869873;0.9225956201553345;0.0;0.9546186327934265;2.059702157974243;0.9546186327934265;0.0
0.009469211101531982;0.009469211101531982;0.9588199853897095;0.0;0.9552335739135742;1.5960803031921387;0.9552335739135742;0.0
0.009496897459030151;0.009496897459030151;0.9778066873550415;0.0;0.9571532011032104;1.3513423204421997;0.9571532011032104;0.0
0.009633302688598633;0.009633302688598633;0.9917349219322205;0.0;0.9577468037605286;2.106050491333008;0.9577468037605286;0.0
0.009646505117416382;0.009646505117416382;0.9545709490776062;0.0;0.9596478939056396;1.2421859502792358;0.9596478939056396;0.0
0.009666815400123596;0.009666815400123596;0.9841586351394653;0.0;0.9602367877960205;1.5427354574203491;0.9602367877960205;0.0
0.009681344032287598;0.009681344032287598;0.9371669888496399;0.0;0.9606372714042664;1.807958722114563;0.9606372714042664;0.0
0.00968313217163086;0.00968313217163086;0.9857047200202942;0.0;0.9607000946998596;0.9607000946998596;1.0191324949264526;0.0
0.009691953659057617;0.009691953659057617;0.9532709121704102;0.0;0.9630011320114136;0.9630011320114136;1.1590840816497803;0.0
0.009692847728729248;0.009692847728729248;0.9633485674858093;0.0;0.9649074673652649;1.327242374420166;0.9649074673652649;0.0
0.009699776768684387;0.009699776768684387;0.717278778553009;0.0;0.9649124145507812;1.5723823308944702;0.9649124145507812;0.0
